夏园	xia'yuan
三元里大道北	san'yuan'li'da'dao'bei
新市墟	xin'shi'xu
机场路	ji'chang'lu
黄石路口	huang'shi'lu'kou
联和	lian'he
鹤南	he'nan
冶金技校	ye'jin'ji'xiao
夏茅	xia'mao
夏茅客运站	xia'mao'ke'yun'zhan
大塱	da'lang
白沙湖	bai'sha'hu
广外附设外语学校	guang'wai'fu'she'wai'yu'xue'xiao
平沙	ping'sha
平沙南街	ping'sha'nan'jie
平沙村总站	ping'sha'cun'zong'zhan
景泰坑	jing'tai'keng
广园客运站	guang'yuan'ke'yun'zhan
广园新村	guang'yuan'xin'cun
交电新村	jiao'dian'xin'cun
中医学院	zhong'yi'xue'yuan
桂花岗	gui'hua'gang
大塘西总站	da'tang'xi'zong'zhan
广园中路	guang'yuan'zhong'lu
大坦沙总站	da'tan'sha'zong'zhan
育贤路口	yu'xian'lu'kou
桥中中路	qiao'zhong'zhong'lu
桥中中路南	qiao'zhong'zhong'lu'nan
仁威庙	ren'wei'miao
南村	nan'cun
华海大厦	hua'hai'da'sha
信和广场	xin'he'guang'chang
市八医院	shi'ba'yi'yuan
水荫路南	shui'yin'lu'nan
水荫横路口	shui'yin'heng'lu'kou
东莞庄一横路口	dong'guan'zhuang'yi'heng'lu'kou
电子五所社区	dian'zi'wu'suo'she'qu
东莞庄总站	dong'guan'zhuang'zong'zhan
广州大道中路口	guang'zhou'da'dao'zhong'lu'kou
大东门	da'dong'men
珠江嘉苑总站	zhu'jiang'jia'yuan'zong'zhan
沐陂西	mu'bei'xi
岑村小学	cen'cun'xiao'xue
岑村红花岗	cen'cun'hong'hua'gang
科韵路中	ke'yun'lu'zhong
阅江中路东	yue'jiang'zhong'lu'dong
宸悦路	chen'yue'lu
叁悦广场	san'yue'guang'chang
万胜围	wan'sheng'wei
琶洲村	pa'zhou'cun
琶洲塔公交总站	pa'zhou'ta'gong'jiao'zong'zhan
琶洲塔	pa'zhou'ta
地铁科韵路站	di'tie'ke'yun'lu'zhan
纸厂总站	zhi'chang'zong'zhan
纸厂邮局	zhi'chang'you'ju
广纸路	guang'zhi'lu
橡胶新村	xiang'jiao'xin'cun
宝岗大道南	bao'gang'da'dao'nan
西基东	xi'ji'dong
江南新村	jiang'nan'xin'cun
江南西路	jiang'nan'xi'lu
西苑	xi'yuan
流花路	liu'hua'lu
站前横路	zhan'qian'heng'lu
站前路	zhan'qian'lu
站南路	zhan'nan'lu
南部战区总医院	nan'bu'zhan'qu'zong'yi'yuan
流花公园	liu'hua'gong'yuan
庄头公园	zhuang'tou'gong'yuan
龙洞路口	long'dong'lu'kou
迎龙路	ying'long'lu
迎龙路	ying'long'lu
龙眼洞森林公园	long'yan'dong'sen'lin'gong'yuan
龙眼洞森林公园东	long'yan'dong'sen'lin'gong'yuan'dong
迎龙路北	ying'long'lu'bei
迎龙路	ying'long'lu
龙洞总站	long'dong'zong'zhan
南石西总站	nan'shi'xi'zong'zhan
南石路	nan'shi'lu
南泰路	nan'tai'lu
南泰路	nan'tai'lu
文化公园	wen'hua'gong'yuan
纸厂横马路	zhi'chang'heng'ma'lu
黄石路总站	huang'shi'lu'zong'zhan
新市	xin'shi
机场路岗贝路口	ji'chang'lu'gang'bei'lu'kou
白云区政务中心	bai'yun'qu'zheng'wu'zhong'xin
远景路	yuan'jing'lu
心谊路	xin'yi'lu
乐嘉路	le'jia'lu
机场立交北	ji'chang'li'jiao'bei
华工大	hua'gong'da
龙口西路北	long'kou'xi'lu'bei
云城南	yun'cheng'nan
芳信路总站	fang'xin'lu'zong'zhan
兴东路	xing'dong'lu
兴泰路	xing'tai'lu
松柏东街北	song'bai'dong'jie'bei
云苑新村	yun'yuan'xin'cun
云龙路南	yun'long'lu'nan
云龙路	yun'long'lu
盈翠华庭	ying'cui'hua'ting
广州体育馆南门	guang'zhou'ti'yu'guan'nan'men
地铁白云公园站	di'tie'bai'yun'gong'yuan'zhan
云城西路	yun'cheng'xi'lu
云港路	yun'gang'lu
云霄街总站	yun'xiao'jie'zong'zhan
云霄路	yun'xiao'lu
金信路	jin'xin'lu
松柏东街	song'bai'dong'jie
文德路总站	wen'de'lu'zong'zhan
白云路东	bai'yun'lu'dong
东湖新村	dong'hu'xin'cun
海印桥南	hai'yin'qiao'nan
三滘村	san'jiao'cun
沥滘	li'jiao
后滘村	hou'jiao'cun
南洲路	nan'zhou'lu
客轮船厂	ke'lun'chuan'chang
大沙村	da'sha'cun
大沙新村东街口	da'sha'xin'cun'dong'jie'kou
大沙村东	da'sha'cun'dong
救捞局	jiu'lao'ju
瀛洲路口	ying'zhou'lu'kou
瀛洲路	ying'zhou'lu
小洲村口	xiao'zhou'cun'kou
瀛洲生态公园	ying'zhou'sheng'tai'gong'yuan
小洲路东	xiao'zhou'lu'dong
北亭村大街	bei'ting'cun'da'jie
中部枢纽	zhong'bu'shu'niu
广大正门	guang'da'zheng'men
大学城科学中心总站	da'xue'cheng'ke'xue'zhong'xin'zong'zhan
沙溪	sha'xi
广州老年大学	guang'zhou'lao'nian'da'xue
晓港中马路	xiao'gang'zhong'ma'lu
星之光电器城	xing'zhi'guang'dian'qi'cheng
黄石路	huang'shi'lu
祥景花园	xiang'jing'hua'yuan
江夏	jiang'xia
黄石东路	huang'shi'dong'lu
云城东路北	yun'cheng'dong'lu'bei
体育花园	ti'yu'hua'yuan
柯子岭	ke'zi'ling
雕塑公园	diao'su'gong'yuan
老干大学	lao'gan'da'xue
下塘西路	xia'tang'xi'lu
童心南	tong'xin'nan
远安路	yuan'an'lu
珠江泳场总站	zhu'jiang'yong'chang'zong'zhan
黄石东	huang'shi'dong
古海岸公园	gu'hai'an'gong'yuan
东山口	dong'shan'kou
时代玫瑰园	shi'dai'mei'gui'yuan
黄边北路	huang'bian'bei'lu
云山诗意	yun'shan'shi'yi
黄边北路口	huang'bian'bei'lu'kou
天河公交场总站	tian'he'gong'jiao'chang'zong'zhan
龙洞北	long'dong'bei
广东外贸学校	guang'dong'wai'mao'xue'xiao
迎福路	ying'fu'lu
龙洞总站	long'dong'zong'zhan
天坤三路总站	tian'kun'san'lu'zong'zhan
天坤三路	tian'kun'san'lu
广氮花园	guang'dan'hua'yuan
广氮花园南	guang'dan'hua'yuan'nan
广园路	guang'yuan'lu
员村二横路	yuan'cun'er'heng'lu
员村生活区	yuan'cun'sheng'huo'qu
程界西	cheng'jie'xi
员村二横路南	yuan'cun'er'heng'lu'nan
临江大道	lin'jiang'da'dao
临江大道	lin'jiang'da'dao
猎德污水处理厂	lie'de'wu'shui'chu'li'chang
马场路南	ma'chang'lu'nan
花城大道东	hua'cheng'da'dao'dong
珠江公园南门	zhu'jiang'gong'yuan'nan'men
花城大道	hua'cheng'da'dao
五羊邨	wu'yang'cun
长城大厦	chang'cheng'da'sha
达道路	da'dao'lu
珠江宾馆	zhu'jiang'bin'guan
花城广场	hua'cheng'guang'chang
车陂路北	che'bei'lu'bei
华农大东北门	hua'nong'da'dong'bei'men
汇景北路总站	hui'jing'bei'lu'zong'zhan
白沙总站	bai'sha'zong'zhan
环洲二路	huan'zhou'er'lu
沙凤一路	sha'feng'yi'lu
沙凤	sha'feng
环洲三路	huan'zhou'san'lu
桃园西路	tao'yuan'xi'lu
东圃总站	dong'pu'zong'zhan
珠江医院总站	zhu'jiang'yi'yuan'zong'zhan
东湖路	dong'hu'lu
华穗路	hua'sui'lu
临江大道中	lin'jiang'da'dao'zhong
猎德码头	lie'de'ma'tou
临江大道东	lin'jiang'da'dao'dong
华洲路	hua'zhou'lu
华洲路口	hua'zhou'lu'kou
华洲路	hua'zhou'lu
华洲路中	hua'zhou'lu'zhong
土华	tu'hua
榕树头	rong'shu'tou
小洲总站	xiao'zhou'zong'zhan
中科院化学所	zhong'ke'yuan'hua'xue'suo
华南植物园南门	hua'nan'zhi'wu'yuan'nan'men
乐意居	le'yi'ju
兴华路	xing'hua'lu
三元里古庙	san'yuan'li'gu'miao
罗冲围总站	luo'chong'wei'zong'zhan
广园西路	guang'yuan'xi'lu
天平架	tian'ping'jia
洛溪新城	luo'xi'xin'cheng
上漖	shang'jiao
大石桥南	da'shi'qiao'nan
富丽	fu'li
祥和路口	xiang'he'lu'kou
朝阳东路	zhao'yang'dong'lu
星河湾	xing'he'wan
塘步西	tang'bu'xi
万博中心总站	wan'bo'zhong'xin'zong'zhan
西站	xi'zhan
西华路尾	xi'hua'lu'wei
白鹤洞村	bai'he'dong'cun
广船	guang'chuan
东塱	dong'lang
金宇花园	jin'yu'hua'yuan
紫荆道	zi'jing'dao
荷景路中	he'jing'lu'zhong
东沙街道办	dong'sha'jie'dao'ban
东沙工业园总站	dong'sha'gong'ye'yuan'zong'zhan
东沙大道南	dong'sha'da'dao'nan
海珠区妇幼	hai'zhu'qu'fu'you
越秀中路	yue'xiu'zhong'lu
东华南路总站	dong'hua'nan'lu'zong'zhan
金沙洲总站	jin'sha'zhou'zong'zhan
彩滨北路	cai'bin'bei'lu
横沙村	heng'sha'cun
环洲三路东	huan'zhou'san'lu'dong
城西花园	cheng'xi'hua'yuan
桥东小区总站	qiao'dong'xiao'qu'zong'zhan
白云山制药厂	bai'yun'shan'zhi'yao'chang
解放北路	jie'fang'bei'lu
海珠北路	hai'zhu'bei'lu
光塔路	guang'ta'lu
朝天路	chao'tian'lu
滘口客运站	jiao'kou'ke'yun'zhan
唐阁村总站	tang'ge'cun'zong'zhan
唐阁	tang'ge
市汽技校	shi'qi'ji'xiao
夏花二路	xia'hua'er'lu
小石马	xiao'shi'ma
石马	shi'ma
平沙路口	ping'sha'lu'kou
大朗北路口	da'lang'bei'lu'kou
大朗中路口	da'lang'zhong'lu'kou
外语外贸大学	wai'yu'wai'mao'da'xue
夏花一路	xia'hua'yi'lu
黄边三横路	huang'bian'san'heng'lu
黄边南	huang'bian'nan
乐得花园	le'de'hua'yuan
黄边南路	huang'bian'nan'lu
黄边	huang'bian
省戒毒基地	sheng'jie'du'ji'di
鹤边	he'bian
海珠南路	hai'zhu'nan'lu
广医一院总站	guang'yi'yi'yuan'zong'zhan
诗书路	shi'shu'lu
光塔路	guang'ta'lu
中山六路	zhong'shan'liu'lu
沥滘总站	li'jiao'zong'zhan
车陂高架桥侧	che'bei'gao'jia'qiao'ce
机场路总站	ji'chang'lu'zong'zhan
黄村立交	huang'cun'li'jiao
和平东	he'ping'dong
万福西	wan'fu'xi
海印桥总站	hai'yin'qiao'zong'zhan
广佛路口	guang'fu'lu'kou
兴民路总站	xing'min'lu'zong'zhan
华成路口	hua'cheng'lu'kou
西湾路总站	xi'wan'lu'zong'zhan
机务段路口	ji'wu'duan'lu'kou
华夏路北	hua'xia'lu'bei
广视宾馆	guang'shi'bin'guan
市胸科医院	shi'xiong'ke'yi'yuan
横枝岗	heng'zhi'gang
横枝岗路北	heng'zhi'gang'lu'bei
云台花园	yun'tai'hua'yuan
白云仙馆	bai'yun'xian'guan
麓湖公园	lu'hu'gong'yuan
解放南路	jie'fang'nan'lu
南漖村	nan'jiao'cun
玉兰路中	yu'lan'lu'zhong
玉兰路南	yu'lan'lu'nan
东西路	dong'xi'lu
乐意居花园总站	le'yi'ju'hua'yuan'zong'zhan
豪贤路	hao'xian'lu
德政中路	de'zheng'zhong'lu
永泰客运站	yong'tai'ke'yun'zhan
东平南路	dong'ping'nan'lu
黄草埔	huang'cao'bu
文盛庄路	wen'sheng'zhuang'lu
协和神学院	xie'he'shen'xue'yuan
东平广场	dong'ping'guang'chang
东平市场	dong'ping'shi'chang
东平北路	dong'ping'bei'lu
东平北路	dong'ping'bei'lu
东平总站	dong'ping'zong'zhan
集贤苑路口	ji'xian'yuan'lu'kou
集贤庄	ji'xian'zhuang
新厅街	xin'ting'jie
大塘路口	da'tang'lu'kou
卷烟一厂	juan'yan'yi'chang
赤岗路	chi'gang'lu
花地大道中	hua'di'da'dao'zhong
龙溪立交南	long'xi'li'jiao'nan
东漖街	dong'jiao'jie
东漖怀宁坊	dong'jiao'huai'ning'fang
芳村花园总站	fang'cun'hua'yuan'zong'zhan
坑口地铁站	keng'kou'di'tie'zhan
康乃馨花园	kang'nai'xin'hua'yuan
同德围总站	tong'de'wei'zong'zhan
花地大道	hua'di'da'dao
翠竹苑	cui'zhu'yuan
芳村西塱总站	fang'cun'xi'lang'zong'zhan
水秀一路总站	shui'xiu'yi'lu'zong'zhan
水秀一路西	shui'xiu'yi'lu'xi
水秀一路	shui'xiu'yi'lu
水秀一路中	shui'xiu'yi'lu'zhong
芳村花园北门	fang'cun'hua'yuan'bei'men
大策	da'ce
联桂北	lian'gui'bei
中山七路	zhong'shan'qi'lu
西门口	xi'men'kou
动物园总站	dong'wu'yuan'zong'zhan
东漖南路	dong'jiao'nan'lu
东漖镇	dong'jiao'zhen
侨诚花园总站	qiao'cheng'hua'yuan'zong'zhan
江晓路口	jiang'xiao'lu'kou
龙归永兴村总站	long'gui'yong'xing'cun'zong'zhan
龙河中路	long'he'zhong'lu
永兴村口	yong'xing'cun'kou
龙归路口	long'gui'lu'kou
东平路口	dong'ping'lu'kou
地铁白云东平站	di'tie'bai'yun'dong'ping'zhan
广从路	guang'cong'lu
永泰客运站	yong'tai'ke'yun'zhan
广州电大麓湖校区	guang'zhou'dian'da'lu'hu'xiao'qu
麓景路	lu'jing'lu
环市中路口	huan'shi'zhong'lu'kou
龙河中路口	long'he'zhong'lu'kou
集贤苑教师新村	ji'xian'yuan'jiao'shi'xin'cun
百顺南路	bai'shun'nan'lu
集贤苑教师新村	ji'xian'yuan'jiao'shi'xin'cun
元下田村	yuan'xia'tian'cun
福泰西路	fu'tai'xi'lu
东山总站	dong'shan'zong'zhan
丛云路南	cong'yun'lu'nan
财税学院	cai'shui'xue'yuan
武警一中队	wu'jing'yi'zhong'dui
云山居	yun'shan'ju
天慧路总站	tian'hui'lu'zong'zhan
天慧路北	tian'hui'lu'bei
天慧路中	tian'hui'lu'zhong
天慧路	tian'hui'lu
思成路	si'cheng'lu
华观路东	hua'guan'lu'dong
华观路中	hua'guan'lu'zhong
东山广场总站	dong'shan'guang'chang'zong'zhan
岑村总站	cen'cun'zong'zhan
体育西路	ti'yu'xi'lu
维多利广场	wei'duo'li'guang'chang
康王南路	kang'wang'nan'lu
吉祥道	ji'xiang'dao
地铁洛溪站	di'tie'luo'xi'zhan
新浦路口	xin'pu'lu'kou
北环路	bei'huan'lu
洛溪新城总站	luo'xi'xin'cheng'zong'zhan
洛涛居	luo'tao'ju
洛城中学	luo'cheng'zhong'xue
如意路	ru'yi'lu
粤溪村	yue'xi'cun
同德围总站	tong'de'wei'zong'zhan
芳村大道西总站	fang'cun'da'dao'xi'zong'zhan
元岗路	yuan'gang'lu
元岗村	yuan'gang'cun
地铁龙洞站	di'tie'long'dong'zhan
广汕一路	guang'shan'yi'lu
榄元村	lan'yuan'cun
柯木塱	ke'mu'lang
广汕一路东	guang'shan'yi'lu'dong
省电校	sheng'dian'xiao
地铁高塘石站	di'tie'gao'tang'shi'zhan
高塘工业区	gao'tang'gong'ye'qu
高塘石东	gao'tang'shi'dong
广汕二路	guang'shan'er'lu
华沙村	hua'sha'cun
地铁黄陂站	di'tie'huang'po'zhan
长安	chang'an
万龙路口	wan'long'lu'kou
广汕路总站	guang'shan'lu'zong'zhan
班岭村	ban'ling'cun
元岗横路东	yuan'gang'heng'lu'dong
动物园总站	dong'wu'yuan'zong'zhan
华美路	hua'mei'lu
华美学校	hua'mei'xue'xiao
欧岗村	ou'gang'cun
沙东新村	sha'dong'xin'cun
凤凰公司	feng'huang'gong'si
楼阁村	lou'ge'cun
渔东路	yu'dong'lu
渔北路中	yu'bei'lu'zhong
渔北路	yu'bei'lu
渔沙坦	yu'sha'tan
渔沙坦总站	yu'sha'tan'zong'zhan
龙洞东路	long'dong'dong'lu
龙洞东路	long'dong'dong'lu
龙洞东路中	long'dong'dong'lu'zhong
龙洞北路东	long'dong'bei'lu'dong
渔兴路口	yu'xing'lu'kou
渔兴路	yu'xing'lu
渔中路口	yu'zhong'lu'kou
旺岗村	wang'gang'cun
渔沙坦总站	yu'sha'tan'zong'zhan
一德西	yi'de'xi
保利红棉花园	bao'li'hong'mian'hua'yuan
南汉二陵博物馆	nan'han'er'ling'bo'wu'guan
广大附中	guang'da'fu'zhong
省中医院大学城医院	sheng'zhong'yi'yuan'da'xue'cheng'yi'yuan
中心南大街	zhong'xin'nan'da'jie
广工一路北	guang'gong'yi'lu'bei
综合商业南区	zong'he'shang'ye'nan'qu
华工	hua'gong
华工生活区	hua'gong'sheng'huo'qu
广药路	guang'yao'lu
大学城广中医总站	da'xue'cheng'guang'zhong'yi'zong'zhan
大新路	da'xin'lu
沃野鸿天广场总站	wo'ye'hong'tian'guang'chang'zong'zhan
叠景路口	die'jing'lu'kou
叠景路	die'jing'lu
沥滘路西	li'jiao'lu'xi
南天商业城	nan'tian'shang'ye'cheng
洛溪桥底	luo'xi'qiao'di
海珠儿童公园	hai'zhu'er'tong'gong'yuan
西场总站	xi'chang'zong'zhan
天河客运站	tian'he'ke'yun'zhan
沙溪大道东总站	sha'xi'da'dao'dong'zong'zhan
珠江花园	zhu'jiang'hua'yuan
地铁沙溪站	di'tie'sha'xi'zhan
地铁沙溪站	di'tie'sha'xi'zhan
沙溪商贸城	sha'xi'shang'mao'cheng
沙溪村牌坊	sha'xi'cun'pai'fang
沙溪村	sha'xi'cun
海珠路	hai'zhu'lu
珠光路总站	zhu'guang'lu'zong'zhan
江南新村	jiang'nan'xin'cun
南方茶叶市场总站	nan'fang'cha'ye'shi'chang'zong'zhan
景泰坑总站	jing'tai'keng'zong'zhan
河田西路	he'tian'xi'lu
赤岗北路	chi'gang'bei'lu
赤岗北路	chi'gang'bei'lu
赤岗	chi'gang
童心北	tong'xin'bei
文化公园总站	wen'hua'gong'yuan'zong'zhan
东山总站	dong'shan'zong'zhan
鹤洞	he'dong
棠安路	tang'an'lu
康王北路	kang'wang'bei'lu
茶滘路总站	cha'jiao'lu'zong'zhan
茶滘路	cha'jiao'lu
中山八路	zhong'shan'ba'lu
花城广场西总站	hua'cheng'guang'chang'xi'zong'zhan
珠江西路南	zhu'jiang'xi'lu'nan
南悦花苑	nan'yue'hua'yuan
南悦花苑总站	nan'yue'hua'yuan'zong'zhan
三元里大道口	san'yuan'li'da'dao'kou
横枝岗	heng'zhi'gang
省银行医院	sheng'yin'hang'yi'yuan
横枝岗路口	heng'zhi'gang'lu'kou
恒福路	heng'fu'lu
西坑	xi'keng
西坑	xi'keng
南田路	nan'tian'lu
永福路	yong'fu'lu
南田西	nan'tian'xi
珠江帝景苑总站	zhu'jiang'di'jing'yuan'zong'zhan
堑口码头	qian'kou'ma'tou
浣花东路	huan'hua'dong'lu
芳村小学	fang'cun'xiao'xue
花溪路口	hua'xi'lu'kou
芳和花园总站	fang'he'hua'yuan'zong'zhan
芳村花园	fang'cun'hua'yuan
南田路	nan'tian'lu
荷景路西	he'jing'lu'xi
西塱社区总站	xi'lang'she'qu'zong'zhan
丽江花园正门	li'jiang'hua'yuan'zheng'men
丽江花园	li'jiang'hua'yuan
半岛花园总站	ban'dao'hua'yuan'zong'zhan
北村	bei'cun
北村路	bei'cun'lu
盐步路口	yan'bu'lu'kou
大转弯	da'zhuan'wan
嘉洲广场	jia'zhou'guang'chang
宏威路口	hong'wei'lu'kou
黄岐城区	huang'qi'cheng'qu
广佛路东	guang'fu'lu'dong
革新路总站	ge'xin'lu'zong'zhan
云苑新村	yun'yuan'xin'cun
丽江花园	li'jiang'hua'yuan
新园路	xin'yuan'lu
丽江路口	li'jiang'lu'kou
如意三马路	ru'yi'san'ma'lu
建设大马路	jian'she'da'ma'lu
白云山制药厂	bai'yun'shan'zhi'yao'chang
省旅游学校	sheng'lyu'you'xue'xiao
白云山制药厂	bai'yun'shan'zhi'yao'chang
颐和山庄	yi'he'shan'zhuang
永泰新村	yong'tai'xin'cun
马务	ma'wu
小坪	xiao'ping
榕溪	rong'xi
石井	shi'jing
石井中学	shi'jing'zhong'xue
庆丰财智广场	qing'feng'cai'zhi'guang'chang
石井文化广场	shi'jing'wen'hua'guang'chang
凰岗凤凰大道东	huang'gang'feng'huang'da'dao'dong
市医药职业学校	shi'yi'yao'zhi'ye'xue'xiao
凰岗总站	huang'gang'zong'zhan
庆丰广场	qing'feng'guang'chang
小坪立交桥	xiao'ping'li'jiao'qiao
均禾工业区总站	jun'he'gong'ye'qu'zong'zhan
大布路	da'bu'lu
清湖马田街	qing'hu'ma'tian'jie
清湖村委	qing'hu'cun'wei
清湖村口	qing'hu'cun'kou
均和东	jun'he'dong
均和墟	jun'he'xu
石马村口	shi'ma'cun'kou
石马南	shi'ma'nan
珠岛花园总站	zhu'dao'hua'yuan'zong'zhan
珠岛花园	zhu'dao'hua'yuan
双桥公园	shuang'qiao'gong'yuan
坦尾路	tan'wei'lu
海角红楼	hai'jiao'hong'lou
大石桥北	da'shi'qiao'bei
五洲装饰材料城	wu'zhou'zhuang'shi'cai'liao'cheng
南大路口	nan'da'lu'kou
万博中心	wan'bo'zhong'xin
锦绣香江	jin'xiu'xiang'jiang
锦绣香江北门	jin'xiu'xiang'jiang'bei'men
地铁汉溪长隆C站	di'tie'han'xi'zhang'long'C'zhan
南国奥林匹克花园	nan'guo'ao'lin'pi'ke'hua'yuan
地铁汉溪长隆A站	di'tie'han'xi'zhang'long'A'zhan
华南碧桂园	hua'nan'bi'gui'yuan
翰景路	han'jing'lu
科技东街北门	ke'ji'dong'jie'bei'men
华景新城西	hua'jing'xin'cheng'xi
大江直街南	da'jiang'zhi'jie'nan
大江直街北	da'jiang'zhi'jie'bei
大江苑	da'jiang'yuan
海幢码头	hai'chuang'ma'tou
同福西路	tong'fu'xi'lu
洲头咀公园	zhou'tou'ju'gong'yuan
滨江西路	bin'jiang'xi'lu
滨江西路	bin'jiang'xi'lu
广州大桥南	guang'zhou'da'qiao'nan
白天鹅花园总站	bai'tian'e'hua'yuan'zong'zhan
沙面新城	sha'mian'xin'cheng
石中路口	shi'zhong'lu'kou
黄岐办事处	huang'qi'ban'shi'chu
鄱阳路	po'yang'lu
宏威路	hong'wei'lu
龙口西总站	long'kou'xi'zong'zhan
泽德花苑总站	ze'de'hua'yuan'zong'zhan
南湖总站	nan'hu'zong'zhan
三九脑科医院	san'jiu'nao'ke'yi'yuan
沙太南路	sha'tai'nan'lu
天虹宾馆	tian'hong'bin'guan
南华工商学院	nan'hua'gong'shang'xue'yuan
侨乐新村	qiao'le'xin'cun
天平架	tian'ping'jia
动物园南门	dong'wu'yuan'nan'men
体育西路南	ti'yu'xi'lu'nan
琶洲塔公园	pa'zhou'ta'gong'yuan
杨青村	yang'qing'cun
黄埔村	huang'pu'cun
新港东路东	xin'gang'dong'lu'dong
新洲科技园	xin'zhou'ke'ji'yuan
新洲前	xin'zhou'qian
新洲码头	xin'zhou'ma'tou
新洲总站	xin'zhou'zong'zhan
红线女中心	hong'xian'nyu'zhong'xin
马场路中	ma'chang'lu'zhong
石牌西路	shi'pai'xi'lu
海欣街	hai'xin'jie
京溪路口	jing'xi'lu'kou
员村总站	yuan'cun'zong'zhan
林和西路口	lin'he'xi'lu'kou
林和西横路	lin'he'xi'heng'lu
岗贝路东	gang'bei'lu'dong
岗贝路	gang'bei'lu
上步大道	shang'bu'da'dao
上步总站	shang'bu'zong'zhan
沥滘总站	li'jiao'zong'zhan
柯子岭总站	ke'zi'ling'zong'zhan
站前横路口	zhan'qian'heng'lu'kou
芳村客运站	fang'cun'ke'yun'zhan
越秀桥	yue'xiu'qiao
越秀北路	yue'xiu'bei'lu
横枝岗总站	heng'zhi'gang'zong'zhan
富康路	fu'kang'lu
南泰路	nan'tai'lu
广园新村总站	guang'yuan'xin'cun'zong'zhan
景泰直街	jing'tai'zhi'jie
沥滘总站	li'jiao'zong'zhan
振兴路中	zhen'xing'lu'zhong
大基头总站	da'ji'tou'zong'zhan
石榴岗总站	shi'liu'gang'zong'zhan
泰康路	tai'kang'lu
景云路	jing'yun'lu
市红会医院北门总站	shi'hong'hui'yi'yuan'bei'men'zong'zhan
水荫路总站	shui'yin'lu'zong'zhan
市慈善医院	shi'ci'shan'yi'yuan
百花路	bai'hua'lu
海珠广场总站	hai'zhu'guang'chang'zong'zhan
华景北路口	hua'jing'bei'lu'kou
华景新城总站	hua'jing'xin'cheng'zong'zhan
华景北路东	hua'jing'bei'lu'dong
枫叶路	feng'ye'lu
枫叶路口	feng'ye'lu'kou
潭村总站	tan'cun'zong'zhan
宝鸭北路	bao'ya'bei'lu
少管所	shao'guan'suo
风度路口	feng'du'lu'kou
张村	zhang'cun
东旺市场	dong'wang'shi'chang
增槎路北	zeng'cha'lu'bei
云城西路南	yun'cheng'xi'lu'nan
云城西路中	yun'cheng'xi'lu'zhong
润云路口	run'yun'lu'kou
齐富路中	qi'fu'lu'zhong
齐富路	qi'fu'lu
齐富路东	qi'fu'lu'dong
先烈南路	xian'lie'nan'lu
南方医科大学	nan'fang'yi'ke'da'xue
白云农批市场	bai'yun'nong'pi'shi'chang
犀牛角村总站	xi'niu'jiao'cun'zong'zhan
坦尾总站	tan'wei'zong'zhan
三骏市场	san'jun'shi'chang
白沙公交场	bai'sha'gong'jiao'chang
兴联	xing'lian
白沙社区	bai'sha'she'qu
沙溪	sha'xi
泌冲	mi'chong
建设大道	jian'she'da'dao
教育路口	jiao'yu'lu'kou
沙面新城	sha'mian'xin'cheng
康王路总站	kang'wang'lu'zong'zhan
新滘东路总站	xin'jiao'dong'lu'zong'zhan
赤沙公园	chi'sha'gong'yuan
恒宝广场总站	heng'bao'guang'chang'zong'zhan
步漖村	bu'jiao'cun
增南路口	zeng'nan'lu'kou
增滘村	zeng'jiao'cun
东石牌坊	dong'shi'pai'fang
龙溪中路	long'xi'zhong'lu
龙溪西路	long'xi'xi'lu
裕海路	yu'hai'lu
迎宾路口	ying'bin'lu'kou
花博大道	hua'bo'da'dao
广州花卉博览园总站	guang'zhou'hua'hui'bo'lan'yuan'zong'zhan
东漖教师新村	dong'jiao'jiao'shi'xin'cun
大坦沙污水处理厂	da'tan'sha'wu'shui'chu'li'chang
黄埔体育馆南门	huang'pu'ti'yu'guan'nan'men
护林路	hu'lin'lu
瑞东花园	rui'dong'hua'yuan
黄埔广附实验学校	huang'pu'guang'fu'shi'yan'xue'xiao
石化生活区	shi'hua'sheng'huo'qu
三元宫	san'yuan'gong
应元路	ying'yuan'lu
海联路	hai'lian'lu
凤凰村	feng'huang'cun
祈乐苑	qi'le'yuan
怡乐路南	yi'le'lu'nan
南浦桥南	nan'pu'qiao'nan
地铁南浦站	di'tie'nan'pu'zhan
广州碧桂园	guang'zhou'bi'gui'yuan
东乡村东	dong'xiang'cun'dong
东乡村西	dong'xiang'cun'xi
西二村口	xi'er'cun'kou
浦华路西	pu'hua'lu'xi
南浦敏捷金月湾	nan'pu'min'jie'jin'yue'wan
锦绣半岛西区	jin'xiu'ban'dao'xi'qu
南浦岛总站	nan'pu'dao'zong'zhan
地铁洛溪站	di'tie'luo'xi'zhan
怡乐路	yi'le'lu
西村总站	xi'cun'zong'zhan
同康路	tong'kang'lu
同康路东	tong'kang'lu'dong
石潭路	shi'tan'lu
石潭路	shi'tan'lu
风度路	feng'du'lu
张村	zhang'cun
石潭西路北	shi'tan'xi'lu'bei
庆丰	qing'feng
红星桥	hong'xing'qiao
朝阳路口	zhao'yang'lu'kou
地铁亭岗站	di'tie'ting'gang'zhan
滘心工业区	jiao'xin'gong'ye'qu
滘心村口	jiao'xin'cun'kou
朝阳开发区	zhao'yang'kai'fa'qu
鸦岗路口	ya'gang'lu'kou
石井鸦岗总站	shi'jing'ya'gang'zong'zhan
笔村立交南	bi'cun'li'jiao'nan
黄埔水库	huang'pu'shui'ku
储运公司	chu'yun'gong'si
